Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
178,319.0,110.0,3,3.5,3.5,9.04,0
232,319.0,106.0,3,3.5,2.5,8.33,1
79,296.0,95.0,2,3.0,2.0,7.54,1
126,300.0,100.0,3,2.0,3.0,8.66,1
337,319.0,110.0,3,3.0,2.5,8.79,0
141,329.0,110.0,2,4.0,3.0,9.15,1
170,311.0,99.0,2,2.5,3.0,7.98,0
340,324.0,107.0,5,3.5,4.0,8.66,1
84,322.0,115.0,5,4.0,4.5,9.36,1
229,318.0,112.0,3,4.0,3.5,8.67,0
133,309.0,105.0,5,3.5,3.5,8.56,0
66,325.0,112.0,4,3.5,3.5,8.92,0
148,326.0,114.0,3,3.0,3.0,9.11,1
344,305.0,103.0,2,2.5,3.5,8.13,0
112,321.0,109.0,4,4.0,4.0,8.68,1
314,301.0,100.0,3,3.5,3.0,8.04,0
266,313.0,102.0,3,2.5,2.5,8.68,0
36,320.0,110.0,5,5.0,5.0,9.2,1
56,320.0,103.0,3,3.0,3.0,7.7,0
39,304.0,105.0,1,3.0,1.5,7.5,0
151,334.0,114.0,4,4.0,4.0,9.43,1
361,322.0,110.0,3,4.0,5.0,8.64,1
386,,117.0,5,5.0,5.0,9.82,1
125,301.0,106.0,4,2.5,3.0,8.47,0
47,329.0,114.0,5,4.0,5.0,9.3,1
262,312.0,104.0,3,3.5,4.0,8.09,0
161,315.0,103.0,1,1.5,2.0,7.86,0
231,313.0,104.0,3,4.0,4.5,8.65,0
371,310.0,103.0,2,2.5,2.5,8.24,0
193,322.0,114.0,5,4.5,4.0,8.94,1
75,314.0,106.0,3,3.0,5.0,8.9,0
86,319.0,103.0,4,4.5,3.5,8.66,0
317,298.0,101.0,2,1.5,2.0,7.86,0
199,311.0,104.0,3,4.5,4.5,8.43,0
368,311.0,98.0,1,1.0,2.5,7.46,0
31,300.0,97.0,2,3.0,3.0,8.1,1
43,313.0,107.0,2,2.5,2.0,8.5,1
67,327.0,114.0,3,3.0,3.0,9.02,0
370,301.0,98.0,1,2.0,3.0,8.03,1
58,298.0,99.0,2,4.0,2.0,7.6,0
154,324.0,105.0,3,3.0,4.0,8.75,0
77,327.0,112.0,3,3.0,3.0,8.72,1
61,309.0,,2,3.0,3.0,8.1,0
2,324.0,107.0,4,4.0,4.5,8.87,1
298,320.0,120.0,3,4.0,4.5,9.11,0
359,314.0,105.0,2,2.5,2.0,7.64,0
183,299.0,100.0,2,3.0,3.5,7.88,0
233,312.0,,2,2.5,3.5,8.27,0
269,327.0,113.0,4,4.5,5.0,9.14,0
57,316.0,102.0,3,2.0,3.0,7.4,0
146,320.0,113.0,2,2.0,2.5,8.64,1
153,321.0,,5,5.0,5.0,9.06,1
362,334.0,116.0,4,4.0,3.5,9.54,1
168,313.0,102.0,3,2.0,3.0,8.27,0
181,300.0,104.0,3,3.5,3.0,8.16,0
95,303.0,,3,2.0,2.5,7.66,0
48,339.0,119.0,5,4.5,4.0,9.7,0
100,323.0,113.0,3,4.0,4.0,8.88,1
239,310.0,104.0,3,2.0,3.5,8.37,0
4,,110.0,3,3.5,2.5,8.67,1
303,322.0,105.0,2,3.0,3.0,8.45,1
91,318.0,106.0,2,4.0,4.0,7.92,1
82,340.0,120.0,4,5.0,5.0,9.5,1
393,326.0,112.0,4,4.0,3.5,,1
240,299.0,100.0,1,1.5,2.0,7.89,0
182,305.0,107.0,2,2.5,2.5,8.42,0
189,331.0,115.0,5,4.5,3.5,9.36,1
195,316.0,109.0,3,3.5,3.0,8.76,0
376,304.0,101.0,2,2.0,2.5,7.66,0
37,299.0,106.0,2,4.0,4.0,,0
115,311.0,105.0,3,3.5,3.0,8.45,1
217,322.0,112.0,4,4.5,4.5,9.26,1
249,324.0,110.0,3,3.5,4.0,,1
302,319.0,108.0,2,2.5,3.0,8.76,0
206,295.0,99.0,2,2.5,3.0,,0
328,,101.0,2,2.5,2.0,7.86,0
165,329.0,111.0,4,4.5,4.0,9.01,1
338,332.0,118.0,5,5.0,5.0,9.47,1
124,308.0,108.0,3,3.5,3.5,,0
149,339.0,116.0,4,4.0,3.5,9.8,1
296,317.0,100.0,2,3.0,2.5,8.57,0
348,299.0,94.0,1,1.0,1.0,7.34,0
35,331.0,112.0,5,4.0,5.0,9.8,1
351,318.0,107.0,3,3.0,3.5,8.27,1
45,326.0,113.0,5,4.5,4.0,9.4,1
259,326.0,102.0,4,5.0,5.0,8.76,1
268,314.0,107.0,3,3.0,3.5,8.17,1
24,334.0,119.0,5,5.0,4.5,9.7,1
276,322.0,110.0,3,3.5,3.0,8.96,1
356,317.0,106.0,2,2.0,3.5,8.12,0
54,324.0,112.0,4,4.0,2.5,8.1,1
387,302.0,101.0,2,2.5,3.5,7.96,0
196,307.0,107.0,2,3.0,3.5,8.52,1
5,314.0,103.0,2,2.0,3.0,8.21,0
211,325.0,108.0,4,4.5,4.0,9.06,1
160,297.0,100.0,1,1.5,2.0,7.9,0
72,336.0,112.0,5,5.0,5.0,9.76,1
358,301.0,104.0,2,3.5,3.5,7.89,1
315,305.0,105.0,2,3.0,4.0,8.13,0
